속도,교류_컴프레서_압력,교류_덕트_온도_드라이버,교류_고전압_히터,교류_외부_온도,배터리_관리_시스템_고전압팩_전류,배터리_관리_시스템_고전압팩_전압,클러스터_주행거리
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.1,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.8,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
43.94795915,7.8,33.0,0,32.0,-15.9,378.2,116592
